"Lesina (Split)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1869,January,February,March,April,May,June,July,August,September,October,November,December,1869,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,765,762,,758,758.4,758.3,759.9,761.7,,,766.8,,1,10197.4636,10157.46688,,10104.137920000001,10109.470816,10108.137592,10129.469176,10153.467208,,,10221.461631999999,
2,764.8,764.7,747.9,,762,757.2,760.4,758.6,760.4,765.3,766.7,751.5,2,10194.797152,10193.463928000001,9969.482296,,10157.46688,10093.472128000001,10136.135296,10112.137264,10136.135296,10201.463271999999,10220.128408,10017.478360000001
3,771.2,762,,754.3,761.8,760.4,759.5,,757.5,,764.1,,3,10280.123488,10157.46688,,10054.808632,10154.800432,10136.135296,10124.13628,,10097.4718,,10185.464584,
4,775.1,769.3,747.6,751.4,762.1,,757.8,760.5,765.4,763.5,754.4,,4,10332.119223999998,10254.792231999998,9965.482624,10016.145136,10158.800104,,10101.471472,10137.46852,10202.796495999999,10177.46524,10056.141855999998,
5,771.7,775.1,755.7,756.4,,763.6,759.7,762.7,767.8,762.7,747.2,,5,10286.789608,10332.119223999998,10073.473768000002,10082.806336,,10178.798464,10126.802728,10166.799448,10234.793871999998,10166.799448,9960.149728,
6,771.5,776,,764,761.5,766.8,760.5,,761.2,,760.2,771,6,10284.12316,10344.118239999998,,10184.13136,10150.80076,10221.461631999999,10137.46852,,10146.801088,,10133.468848,10277.45704
7,771.5,772.1,755,765,760.9,767.4,763.3,759.5,,766,760.1,773.6,7,10284.12316,10292.122503999999,10064.1412,10197.4636,10142.801416,10229.460976,10174.798792,10124.13628,,10210.79584,10132.135624,10312.120863999999
8,768,768.2,,765.3,,766.1,765.7,760.4,762.2,,763.2,,8,10237.46032,10240.126768,,10201.463271999999,,10212.129064,10206.796168,10136.135296,10160.133328,,10173.465568,
9,771.6,767.5,758.1,,760,,765.8,759.3,765.5,767.7,765.5,769.3,9,10285.456384,10230.7942,10105.471144000001,,10130.8024,,10208.129391999999,10121.469831999999,10204.129719999999,10233.460648,10204.129719999999,10254.792231999998
10,770.1,769.3,755,766.7,754.9,759.6,,755.9,761.5,770,,770,10,10265.458024,10254.792231999998,,10220.128408,10062.807976,10125.469504,,10076.140216,10150.80076,10264.1248,,10264.1248
11,767.5,768.6,751.5,,,757.6,766.2,752.2,761.3,771.5,755,,11,10230.7942,10245.459664,10017.478360000001,,,10098.805024000001,10213.462288,10026.810928,10148.134312,10284.12316,10064.1412,
12,769,,746.7,771.4,760.4,758.8,764.1,759,757.1,771.9,764,762.3,12,10250.79256,,9953.483608,10282.789936,10136.135296,10114.803711999999,10185.464584,10117.47016,10092.138904000001,10289.456055999999,10184.13136,10161.466552
13,767.5,761.2,,771.3,763.7,760.2,763.9,765.1,760.8,771.3,778.5,757,13,10230.7942,10146.801088,,10281.456712,10180.131688000001,10133.468848,10182.798136,10198.796824000001,10141.468192,10281.456712,10377.44884,10090.80568
14,,766.6,,,763.1,761,761.6,,761,,,,14,,10218.795184,,,10172.132344,10144.13464,10152.133984,,10144.13464,,,
15,769,770.2,750.7,764.7,759.4,760.2,,758.9,764,764.7,773.6,,15,10250.79256,10266.791248,10006.812568000001,10193.463928000001,10122.803056,10133.468848,,10116.136936,10184.13136,10193.463928000001,10312.120863999999,
16,767,772.5,,760.6,755.9,764.2,760,753.2,,,764.5,766.2,16,10224.12808,10297.455399999999,,10138.801744,10076.140216,10186.797808000001,10130.8024,10040.143168,,,10190.79748,10213.462288
17,,770,,754,756.7,764.9,759.9,,761,762.9,767.1,762.5,17,,10264.1248,,10050.80896,10086.806008000001,10196.130376,10129.469176,,10144.13464,10169.465896,10225.461304,10164.133
18,765.6,770,750.9,743,761.9,,,760.2,764.9,,772.8,761.4,18,10205.462944,10264.1248,10009.479016000001,9904.15432,10156.133656,,,10133.468848,10196.130376,,10301.455071999999,10149.467536
19,769.6,769,757.2,752.2,762.9,759.8,761,760.7,763.5,,772,,19,10258.791904,10250.79256,10093.472128000001,10026.810928,10169.465896,10128.135952,10144.13464,10140.134968,10177.46524,,10290.789279999999,
20,774,765,755,759.3,760.2,756.5,761.4,760,,755,766.5,761.3,20,10317.453759999999,10197.4636,10064.1412,10121.469831999999,10133.468848,10084.13956,10149.467536,10130.8024,,10064.1412,10217.46196,10148.134312
21,765.7,762,745,760.5,760.7,759.6,762.6,760.3,,757.8,763,757.8,21,10206.796168,10157.46688,9930.818800000001,10137.46852,10140.134968,10125.469504,10165.466224,10134.802072,,10101.471472,10170.79912,10101.471472
22,757.4,755.7,747.1,760.8,761.5,762.1,760.9,763.4,756,760,762.3,755,22,10096.138576,10073.473768000002,9958.816504,10141.468192,10150.80076,10158.800104,10142.801416,10176.132016,10077.47344,10130.8024,10161.466552,10064.1412
23,757.4,763.7,755,,762.4,760.1,761.2,762.9,763.5,757.5,757,755,23,10096.138576,10180.131688000001,10064.1412,,10162.799776,10132.135624,10146.801088,10169.465896,10177.46524,10097.4718,10090.80568,10064.1412
24,760,,744.3,762.8,760.1,763.5,760.8,764,766.2,762.5,759,756.1,24,10130.8024,,9921.486232,10168.132672,10132.135624,10177.46524,10141.468192,10184.13136,10213.462288,10164.133,10117.47016,10078.806664
25,764.2,767.1,,761.5,,760.8,759.1,762.8,,757.9,751.7,755,25,10186.797808000001,10225.461304,,10150.80076,,10141.468192,10118.803384,10168.132672,,10102.804696,10020.144808000001,10064.1412
26,765.8,,749.4,762.6,757.2,761,759.8,763.6,768,759.7,756.7,,26,10208.129391999999,,9989.480656,10165.466224,10093.472128000001,10144.13464,10128.135952,10178.798464,10237.46032,10126.802728,10086.806008000001,
27,765.9,,753.5,,,762.5,761.7,763.7,768.1,755,760,753,27,10209.462615999999,,10044.14284,,,10164.133,10153.467208,10180.131688000001,10238.793544000002,10064.1412,10130.8024,10037.476719999999
28,766.9,760.4,753.4,767.1,764.6,759.9,761.6,764,766.2,755.2,762.6,,28,10222.794855999999,10136.135296,10042.809615999999,10225.461304,10192.130704,10129.469176,10152.133984,10184.13136,10213.462288,10066.807648,10165.466224,
29,764.6,,757,762.8,763.8,757.5,,,764.7,760.5,754.3,,29,10192.130704,,10090.80568,10168.132672,10181.464912,10097.4718,,,10193.463928000001,10137.46852,10054.808632,
30,762.8,,755.7,759.9,761.6,757.2,,760.5,765.3,,760.7,772.5,30,10168.132672,,10073.473768000002,10129.469176,10152.133984,10093.472128000001,,10137.46852,10201.463271999999,,10140.134968,10297.455399999999
31,,,755.6,,759,,,763,,,,,31,,,10072.140544,,10117.47016,,,10170.79912,,,,
,,,,,,,,,,,,,,10226.223146285714,10224.239181999996,10024.334940571427,10139.468356000001,10139.365800307694,10144.035882666669,10151.28072064,10139.058133230767,10171.410181000001,10168.005698285713,10163.894924285714,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1870,January,February,March,April,May,June,July,August,September,October,November,December,1870,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,765,771.9,768.6,753.3,762,760.7,761.3,756.8,762.8,775,,761.2,1,10197.4636,10289.456055999999,10245.459664,10041.476392,10157.46688,10140.134968,10148.134312,10088.139232,10168.132672,10330.785999999998,,10146.801088
2,768.9,772.9,767,759,760.1,759.2,760.6,758.9,763.4,771.5,,757.7,2,10249.459335999998,10302.788295999999,10224.12808,10117.47016,10132.135624,10120.136608,10138.801744,10116.136936,10176.132016,10284.12316,,10100.138248000001
3,763.1,769,762.7,763.5,761.7,760.4,757.5,763.4,,,,757.1,3,10172.132344,10250.79256,10166.799448,10177.46524,10153.467208,10136.135296,10097.4718,10176.132016,,,,10092.138904000001
4,,,760,766.7,766.3,764.3,762.5,,762.8,770.8,,765.1,4,,,10130.8024,10220.128408,10214.795511999999,10188.131032,10164.133,,10168.132672,10274.790592,,10198.796824000001
5,770,767.1,760.5,770.6,762.8,763.7,766,755.9,,,758.4,766.3,5,10264.1248,10225.461304,10137.46852,10272.124144,10168.132672,10180.131688000001,10210.79584,10076.140216,,,10109.470816,10214.795511999999
6,770,766,,773.9,760.8,759.3,766,,,768.2,,,6,10264.1248,10210.79584,,10316.120535999999,10141.468192,10121.469831999999,10210.79584,,,10240.126768,,
7,,,750.6,769.7,758.1,763,,757.2,765,,,750.2,7,,,10005.479344,10260.125128,10105.471144000001,10170.79912,,10093.472128000001,10197.4636,,,10000.146448
8,763.8,761.3,755.6,763.6,762.7,763,761.6,756.9,760,765,,744,8,10181.464912,10148.134312,10072.140544,10178.798464,10166.799448,10170.79912,10152.133984,10089.472456,10130.8024,10197.4636,,9917.48656
9,766.4,,759.8,762.4,764.8,760.9,761.8,,,,759.7,749.2,9,10216.128735999999,,10128.135952,10162.799776,10194.797152,10142.801416,10154.800432,,,,10126.802728,9986.814208
10,760,749.9,755,760.9,761.2,,761.2,758.6,,750.7,,,10,10130.8024,9996.146776,10064.1412,10142.801416,10146.801088,,10146.801088,10112.137264,,10006.812568000001,,
11,760.7,762.5,,760.2,,761.5,760.4,758.9,764.1,,,761.3,11,10140.134968,10164.133,,10133.468848,,10150.80076,10136.135296,10116.136936,10185.464584,,,10148.134312
12,764.3,764.2,751.1,,758.9,765.8,758.7,757.4,,760,750.7,763.6,12,10188.131032,10186.797808000001,10012.145464000001,,10116.136936,10208.129391999999,10113.470488,10096.138576,,10130.8024,10006.812568000001,10178.798464
13,758.7,765.4,752.2,766.9,761.5,764.9,755,757.6,762.3,,763.9,764.5,13,10113.470488,10202.796495999999,10026.810928,10222.794855999999,10150.80076,10196.130376,10064.1412,10098.805024000001,10161.466552,,10182.798136,10190.79748
14,759.8,759.1,748.7,761.4,766.8,766.3,,,760.2,,759.2,764.7,14,10128.135952,10118.803384,9980.148088000002,10149.467536,10221.461631999999,10214.795511999999,,,10133.468848,,10120.136608,10193.463928000001
15,,754,765,,765.8,766.2,,758,,,,764.4,15,,10050.80896,10197.4636,,10208.129391999999,10213.462288,,10104.137920000001,,,,10189.464256
16,765.6,756.5,762.9,761.4,764.8,766.2,,,764.9,756.2,760.6,762.3,16,10205.462944,10084.13956,10169.465896,10149.467536,10194.797152,10213.462288,,,10196.130376,10080.139888000002,10138.801744,10161.466552
17,,761.4,763.7,762.9,766.3,764.8,758.1,,,,757.3,759.2,17,,10149.467536,10180.131688000001,10169.465896,10214.795511999999,10194.797152,10105.471144000001,,,,10094.805352,10120.136608
18,762.1,,759.2,763.7,768,762.4,758.1,,,,763.5,,18,10158.800104,,10120.136608,10180.131688000001,10237.46032,10162.799776,10105.471144000001,,,,10177.46524,
19,753.5,757.6,759.2,763.7,767.9,761.1,758.5,755,,765.6,762.4,761.2,19,10044.14284,10098.805024000001,10120.136608,10180.131688000001,10236.127096,10145.467864,10110.80404,10064.1412,,10205.462944,10162.799776,10146.801088
20,761,757.8,768,769.7,,764.1,,754.5,766.9,,763.1,756,20,10144.13464,10101.471472,10237.46032,10260.125128,,10185.464584,,10057.47508,10222.794855999999,,10172.132344,10077.47344
21,765,752.1,765,767.6,766,764.1,,756.4,,760,767.6,750.1,21,10197.4636,10025.477704,10197.4636,10232.127424,10210.79584,10185.464584,,10082.806336,,10130.8024,10232.127424,9998.813224000001
22,754.5,737.8,764.4,766.3,763.2,760.5,,,759.8,760,762.1,742.9,22,10057.47508,9834.826672,10189.464256,10214.795511999999,10173.465568,10137.46852,,,10128.135952,10130.8024,10158.800104,9902.821096
23,756.2,761.3,758.3,768.6,,763.4,759.4,761.5,,761.6,763.5,747.1,23,10080.139888000002,10148.134312,10108.137592,10245.459664,,10176.132016,10122.803056,10150.80076,,10152.133984,10177.46524,9958.816504
24,754.7,765.1,756.1,768.6,761.4,762.5,,760,,,763.5,744.6,24,10060.141528,10198.796824000001,10078.806664,10245.459664,10149.467536,10164.133,,10130.8024,,,10177.46524,9925.485904000001
25,755.6,755.9,745.1,764.4,762.4,,762.4,,766,751.5,768.4,758.3,25,10072.140544,10076.140216,9932.152024,10189.464256,10162.799776,,10162.799776,,10210.79584,10017.478360000001,10242.793215999998,10108.137592
26,759.8,757.6,,766.3,760.5,758,756.7,,765,,769.3,,26,10128.135952,10098.805024000001,,10214.795511999999,10137.46852,10104.137920000001,10086.806008000001,,10197.4636,,10254.792231999998,
27,758.1,762.9,755,763.7,760.9,763.6,,,,,,749.3,27,10105.471144000001,10169.465896,10064.1412,10180.131688000001,10142.801416,10178.798464,,,,,,9988.147432
28,763.4,765,756.3,,767.7,760.4,756.7,,765.9,759.1,,753.4,28,10176.132016,10197.4636,10081.473112,,10233.460648,10136.135296,10086.806008000001,,10209.462615999999,10118.803384,,10042.809615999999
29,768.7,,753.2,755.1,766.3,760.4,758.3,757.4,766.6,753.5,763,748.7,29,10246.792888,,10040.143168,10065.474424,10214.795511999999,10136.135296,10108.137592,10096.138576,10218.795184,10044.14284,10170.79912,9980.148088000002
30,770.1,,751.7,,763.2,,758.6,760.3,767.3,,763.5,756.1,30,10265.458024,,10020.144808000001,,10173.465568,,10112.137264,10134.802072,10228.127751999999,,10177.46524,10078.806664
31,771,,750.9,,761.8,,759.6,760.7,,,,,31,10277.45704,,10009.479016000001,,10154.800432,,10125.469504,10140.134968,,,,
,,,,,,,,,,,,,,10165.367466666668,10138.746192999999,10104.99499257143,10189.31042246154,10175.51301914286,10165.713117333335,10130.19638909091,10106.523689263156,10183.298095,10156.311419200001,10160.207396,10078.755386153849
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1871,January,February,March,April,May,June,July,August,September,October,November,December,1871,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,773,,,,758.6,764.1,755.8,769.8,,762.2,753.8,1,,10304.121519999999,,,,10112.137264,10185.464584,10074.806992,10261.458351999998,,10160.133328,10048.142511999999
2,759.7,,769.2,,,757.9,763.1,,762.8,,754.7,,2,10126.802728,,10253.459008,,,10102.804696,10172.132344,,10168.132672,,10060.141528,
3,755.5,,,,,755.7,,762,765.6,754.4,753.6,761.2,3,10070.80732,,,,,10073.473768000002,,10157.46688,10205.462944,10056.141855999998,10045.476064,10146.801088
4,756.8,769.2,775.6,,,754,761.4,759.7,765.3,,755.2,756.3,4,10088.139232,10253.459008,10338.785344,,,10050.80896,10149.467536,10126.802728,10201.463271999999,,10066.807648,10081.473112
5,757.2,768.3,771.6,,,755.9,,757.5,766.3,760.2,762.9,752.1,5,10093.472128000001,10241.459991999998,10285.456384,,,10076.140216,,10097.4718,10214.795511999999,10133.468848,10169.465896,10025.477704
6,756.6,768.8,771.4,,,758.6,,760.7,763.5,763.7,766.8,755,6,10085.472784000001,10248.126111999998,10282.789936,,,10112.137264,,10140.134968,10177.46524,10180.131688000001,10221.461631999999,10064.1412
7,758.8,761,767.7,,,762.9,764.5,,764.1,,,758.8,7,10114.803711999999,10144.13464,10233.460648,,,10169.465896,10190.79748,,10185.464584,,,10114.803711999999
8,,,771.7,,,,762.3,,762.1,,,760.8,8,,,10286.789608,,,,10161.466552,,10158.800104,,,10141.468192
9,742.3,754.9,,,,758.9,762.1,760.3,759.6,763.6,753.2,768.4,9,9894.821752,10062.807976,,,,10116.136936,10158.800104,10134.802072,10125.469504,10178.798464,10040.143168,10242.793215999998
10,744.8,,,,,760.8,762.4,760.3,760.2,763.6,,764.1,10,9928.152352,,,,,10141.468192,10162.799776,10134.802072,10133.468848,10178.798464,,10185.464584
11,741.9,752.6,767.6,,,759.7,760,760.1,759.3,766.8,759.1,760.5,11,9889.488856,10032.143824,10232.127424,,,10126.802728,10130.8024,10132.135624,10121.469831999999,10221.461631999999,10118.803384,10137.46852
12,747.1,755,771.4,,,760.6,,762.3,759.1,,755.7,766.2,12,9958.816504,10064.1412,10282.789936,,,10138.801744,,10161.466552,10118.803384,,10073.473768000002,10213.462288
13,757.4,759.5,,,,759.2,,760.7,759.4,,751.6,771.7,13,10096.138576,10124.13628,,,,10120.136608,,10140.134968,10122.803056,,10018.811584,10286.789608
14,753.5,,,,,760.9,,761.4,,765,762.2,771,14,10044.14284,,,,,10142.801416,,10149.467536,,10197.4636,10160.133328,10277.45704
15,,,764.6,,,762.6,761.5,760.8,764.7,760.7,764.8,769.6,15,,,10192.130704,,,10165.466224,10150.80076,10141.468192,10193.463928000001,10140.134968,10194.797152,10258.791904
16,764.2,,759.2,,754.6,763.3,760.1,761.2,765.8,,755,766.4,16,10186.797808000001,,10120.136608,,10058.808304,10174.798792,10132.135624,10146.801088,10208.129391999999,,10064.1412,10216.128735999999
17,764.6,,752.4,,,764.8,761.7,,763.9,761.6,750,766.4,17,10192.130704,,10029.477375999999,,,10194.797152,10153.467208,,10182.798136,10152.133984,9997.48,10216.128735999999
18,760.6,766.5,751,,,763.4,762.3,758.6,759.9,765.5,749.3,765.5,18,10138.801744,10217.46196,10010.81224,,,10176.132016,10161.466552,10112.137264,10129.469176,10204.129719999999,9988.147432,10204.129719999999
19,760.5,769,,,,760.8,759.1,760.8,755.7,763.9,754.1,768.3,19,10137.46852,10250.79256,,,,10141.468192,10118.803384,10141.468192,10073.473768000002,10182.798136,10052.142184,10241.459991999998
20,757.6,,,,,761.5,,761.9,761.5,,768.5,,20,10098.805024000001,,,,,10150.80076,,10156.133656,10150.80076,,10244.12644,
21,756.2,,,,,,756.6,764,761.9,766.5,,763.7,21,10080.139888000002,,,,,,10085.472784000001,10184.13136,10156.133656,10217.46196,,10180.131688000001
22,758.4,766.4,,,,757.1,760.3,,755.9,766.8,758,764.2,22,10109.470816,10216.128735999999,,,,10092.138904000001,10134.802072,,10076.140216,10221.461631999999,10104.137920000001,10186.797808000001
23,766,771.2,,,,763.6,,762.2,762.2,765.6,760,763.4,23,10210.79584,10280.123488,,,,10178.798464,,10160.133328,10160.133328,10205.462944,10130.8024,10176.132016
24,765.1,,,,763.8,763.8,758.3,761.2,761.8,762.4,760.4,766.4,24,10198.796824000001,,,,10181.464912,10181.464912,10108.137592,10146.801088,10154.800432,10162.799776,10136.135296,10216.128735999999
25,761.2,771,,,763.2,,754.4,763.9,757.2,754.3,,768.3,25,10146.801088,10277.45704,,,10173.465568,,10056.141855999998,10182.798136,10093.472128000001,10054.808632,,10241.459991999998
26,758.4,775.3,,,763.7,754,,765,755.7,,755.9,764.3,26,10109.470816,10334.785671999998,,,10180.131688000001,10050.80896,,10197.4636,10073.473768000002,,10076.140216,10188.131032
27,755.3,,,,763.7,754.8,759.3,763,757.6,,,761.8,27,10068.140872,,,,10180.131688000001,10061.474751999998,10121.469831999999,10170.79912,10098.805024000001,,,10154.800432
28,753.2,772.6,,,759.9,755.4,762.1,764.5,759.8,,760.2,762.9,28,10040.143168,10298.788623999999,,,10129.469176,10069.474096,10158.800104,10190.79748,10128.135952,,10133.468848,10169.465896
29,756.1,,,,,757.3,,765.2,,750,757.7,762.1,29,10078.806664,,,,,10094.805352,,10200.130048,,9997.48,10100.138248000001,10158.800104
30,,,,,763,760.7,759.8,767.5,,757.8,752.1,765.5,30,,,,,10170.79912,10140.134968,10128.135952,10230.7942,,10101.471472,10025.477704,10204.129719999999
31,767.4,,,,759.8,,759,769.8,,761.4,,765.4,31,10229.460976,,,,10128.135952,,10117.47016,10261.458351999998,,10149.467536,,10202.796495999999
,,,,,,,,,,,,,,10089.521834666666,10209.3792895,10212.351268,,10150.300801,10124.284415999999,10139.944507428572,10156.646434461536,10150.899517333331,10154.51975326316,10099.249431999999,10178.660544275863
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1872,January,February,March,April,May,June,July,August,September,October,November,December,1872,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,763.9,769,,756.1,762.4,760.4,758.5,,760,763,,759.8,1,10182.798136,10250.79256,,10078.806664,10162.799776,10136.135296,10110.80404,,10130.8024,10170.79912,,10128.135952
2,764.6,,767,755.9,763.2,760.3,758.4,758,765.1,,765.6,763.5,2,10192.130704,,10224.12808,10076.140216,10173.465568,10134.802072,10109.470816,10104.137920000001,10198.796824000001,,10205.462944,10177.46524
3,768.6,763.6,768.1,753.1,763.5,756.4,759.4,,764.2,764.6,,753.3,3,10245.459664,10178.798464,10238.793544000002,10038.809944,10177.46524,10082.806336,10122.803056,,10186.797808000001,10192.130704,,10041.476392
4,763.8,764.3,773,756.3,763.5,755.2,760,756.7,764.3,,761.4,751,4,10181.464912,10188.131032,10304.121519999999,10081.473112,10177.46524,10066.807648,10130.8024,10086.806008000001,10188.131032,,10149.467536,10010.81224
5,765.8,769,770.9,760.3,762.8,756.9,759,764.5,765,762.7,768.1,757.4,5,10208.129391999999,10250.79256,10276.123816,10134.802072,10168.132672,10089.472456,10117.47016,10190.79748,10197.4636,10166.799448,10238.793544000002,10096.138576
6,768.6,,768.2,756.1,764.3,760.3,758.9,762.4,764,764.7,766,,6,10245.459664,,10240.126768,10078.806664,10188.131032,10134.802072,10116.136936,10162.799776,10184.13136,10193.463928000001,10210.79584,
7,766.7,775.2,767,757.6,761,762.2,759.9,761.2,763.3,766,765.1,763,7,10220.128408,10333.452448,10224.12808,10098.805024000001,10144.13464,10160.133328,10129.469176,10146.801088,10174.798792,10210.79584,10198.796824000001,10170.79912
8,758.9,769.9,763.6,765,761.3,763.1,761.2,,760.9,764.9,766.3,758.6,8,10116.136936,10262.791576,10178.798464,10197.4636,10148.134312,10172.132344,10146.801088,,10142.801416,10196.130376,10214.795511999999,10112.137264
9,,,,757.7,757.7,762,759.4,760,759.2,761.2,765.7,761.8,9,,,,10100.138248000001,10100.138248000001,10157.46688,10122.803056,10130.8024,10120.136608,10146.801088,10206.796168,10154.800432
10,746.1,767.7,762.5,749.4,751.2,757.8,757.8,761.1,,755.3,761.5,756,10,9945.484264,10233.460648,10164.133,9989.480656,10013.478688000001,10101.471472,10101.471472,10145.467864,,10068.140872,10150.80076,10077.47344
11,742.8,767.6,761.4,757.8,753.7,755.9,759.5,763.4,762.3,755.6,752.8,757.5,11,9901.487872,10232.127424,10149.467536,10101.471472,10046.809288,10076.140216,10124.13628,10176.132016,10161.466552,10072.140544,10034.810271999999,10097.4718
12,758,764.9,755.5,763.1,756.5,760.4,,762.5,766.8,758.9,746.5,752.8,12,10104.137920000001,10196.130376,10070.80732,10172.132344,10084.13956,10136.135296,,10164.133,10221.461631999999,10116.136936,9950.81716,10034.810271999999
13,762.3,763.3,757.1,764,759.1,756.5,763.3,761.9,766.9,763.6,755.4,760.5,13,10161.466552,10174.798792,10092.138904000001,10184.13136,10118.803384,10084.13956,10174.798792,10156.133656,10222.794855999999,10178.798464,10069.474096,10137.46852
14,763.4,762,757.2,762.5,763.4,762.3,761.2,761.1,763.8,764.5,,760,14,10176.132016,10157.46688,10093.472128000001,10164.133,10176.132016,10161.466552,10146.801088,10145.467864,10181.464912,10190.79748,,10130.8024
15,,764.2,754.8,757.6,,765.7,758.2,760.5,759,761.9,758.1,754.1,15,,10186.797808000001,10061.474751999998,10098.805024000001,,10206.796168,10106.804368000001,10137.46852,10117.47016,10156.133656,10105.471144000001,10052.142184
16,762.5,758.9,760,760.4,762.6,762.7,757.1,760.4,756.9,760.1,,755.2,16,10164.133,10116.136936,10130.8024,10136.135296,10165.466224,10166.799448,10092.138904000001,10136.135296,10089.472456,10132.135624,,10066.807648
17,766.9,,762.1,755.4,759.8,763.9,759.4,762.2,759.1,763.4,760.9,758.7,17,10222.794855999999,,10158.800104,10069.474096,10128.135952,10182.798136,10122.803056,10160.133328,10118.803384,10176.132016,10142.801416,10113.470488
18,761.5,767.2,762.1,753.9,757.5,763.1,760.6,759.6,760.8,764.4,762.9,752.8,18,10150.80076,10226.794528,10158.800104,10049.475736,10097.4718,10172.132344,10138.801744,10125.469504,10141.468192,10189.464256,10169.465896,10034.810271999999
19,,768.4,752.1,758.7,761.5,760.5,759.6,760.3,759.8,764.8,762.1,749.4,19,,10242.793215999998,10025.477704,10113.470488,10150.80076,10137.46852,10125.469504,10134.802072,10128.135952,10194.797152,10158.800104,9989.480656
20,755.8,768.8,756.9,757.7,762.2,761.2,764,759.7,,759.8,764.6,754.9,20,10074.806992,10248.126111999998,10089.472456,10100.138248000001,10160.133328,10146.801088,10184.13136,10126.802728,,10128.135952,10192.130704,10062.807976
21,760.1,769.5,753.9,750.9,761.9,757.8,764.5,760,752.5,761.3,768.8,761.6,21,10132.135624,10257.45868,10049.475736,10009.479016000001,10156.133656,10101.471472,10190.79748,10130.8024,10030.8106,10148.134312,10248.126111999998,10152.133984
22,760.1,769.2,754.8,755.2,758.1,761.8,764.5,760.7,761.2,763.4,768.9,,22,10132.135624,10253.459008,10061.474751999998,10066.807648,10105.471144000001,10154.800432,10190.79748,10140.134968,10146.801088,10176.132016,10249.459335999998,
23,759.2,768.2,758.3,758.4,765.8,,761.5,759.8,761.4,761,,,23,10120.136608,10240.126768,10108.137592,10109.470816,10208.129391999999,,10150.80076,10128.135952,10149.467536,10144.13464,,
