"Lesina (Split)",,,,,,,,,,,,,,,,,,,,,,,,,
24,760.1,,759,760.4,762.5,762.2,761.9,757.6,759.9,760,762,765.5,24,10132.135624,,10117.47016,10136.135296,10164.133,10160.133328,10156.133656,10098.805024000001,10129.469176,10130.8024,10157.46688,10204.129719999999
25,,764.8,744.1,761.8,760.6,760.9,761.6,758.4,759.9,749.9,762,764.4,25,,10194.797152,9918.819784000001,10154.800432,10138.801744,10142.801416,10152.133984,10109.470816,10129.469176,9996.146776,10157.46688,10189.464256
26,,755.4,754.2,763.5,762,762.6,760.9,762,759.5,759.6,,766.4,26,,10069.474096,10053.475408,10177.46524,10157.46688,10165.466224,10142.801416,10157.46688,10124.13628,10125.469504,,10216.128735999999
27,757.9,,758.9,763.7,763.4,763.1,762.9,761.8,765.3,763.9,770.6,770.7,27,10102.804696,,10116.136936,10180.131688000001,10176.132016,10172.132344,10169.465896,10154.800432,10201.463271999999,10182.798136,10272.124144,10273.457368
28,762,758.8,765.2,761.5,757.8,761,,759.8,768.4,,,768.8,28,10157.46688,10114.803711999999,10200.130048,10150.80076,10101.471472,10144.13464,,10128.135952,10242.793215999998,,,10248.126111999998
29,760.5,766,766.2,760.9,759.1,762,,760.2,765.9,760,762.1,768.8,29,10137.46852,10210.79584,10213.462288,10142.801416,10118.803384,10157.46688,,10133.468848,10209.462615999999,10130.8024,10158.800104,10248.126111999998
30,758.8,,763.3,759.1,760.1,760.2,760.3,,762,759.9,761,,30,10114.803711999999,,10174.798792,10118.803384,10132.135624,10133.468848,10134.802072,,10157.46688,10129.469176,10144.13464,
31,764.5,,757.3,,760.3,,759.8,759.5,,764.2,,772.6,31,10190.79748,,10094.805352,,10134.802072,,10128.135952,10124.13628,,10186.797808000001,,10298.788623999999
,,,,,,,,,,,,,,10142.801415999998,10209.578548521738,10137.560466482757,10110.359632,10139.157270400001,10139.261476413794,10137.135214,10138.357336000001,10158.133492000003,10151.086450857141,10164.654696347827,10130.357992000001
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1873,January,February,March,April,May,June,July,August,September,October,November,December,,,,,,,,,,,,,
,,,,,,,,,,,,,1873,,,,,,,,,,,,
1,771.7,757.1,749.4,763,,760.6,,,760.9,,,,1,10286.789608,10092.138904000001,9989.480656,10170.79912,,10138.801744,,,10142.801416,,,
2,769.5,761.2,752.5,762.9,761.6,763.7,,,,766.6,760.9,,2,10257.45868,10146.801088,10030.8106,10169.465896,10152.133984,10180.131688000001,,,,10218.795184,10142.801416,
3,766.7,760,757.2,762.9,761.5,763.6,761.9,,,764,757.2,,3,10220.128408,10130.8024,10093.472128000001,10169.465896,10150.80076,10178.798464,10156.133656,,,10184.13136,10093.472128000001,
4,768.1,761.1,758.7,760.1,755.2,764.9,760.8,,,,,772.5,4,10238.793544000002,10145.467864,10113.470488,10132.135624,10066.807648,10196.130376,10141.468192,,,,,10297.455399999999
5,769.3,763,759.6,759.2,758.4,762,759.9,760.4,760.3,,,771.6,5,10254.792231999998,10170.79912,10125.469504,10120.136608,10109.470816,10157.46688,10129.469176,10136.135296,10134.802072,,,10285.456384
6,768.8,752,758.5,754.6,758.5,,760.4,760.8,,,,,6,10248.126111999998,10024.144479999999,10110.80404,10058.808304,10110.80404,,10136.135296,10141.468192,,,,
7,770,752.5,756.3,750.3,754,,762.6,763.2,,,,763.7,7,10264.1248,10030.8106,10081.473112,10001.479672,10050.80896,,10165.466224,10173.465568,,,,10180.131688000001
8,770.2,760.2,761.7,755.3,754.7,756.7,763.5,764,760.1,764.9,767.8,771.5,8,10266.791248,10133.468848,10153.467208,10068.140872,10060.141528,10086.806008000001,10177.46524,10184.13136,10132.135624,10196.130376,10234.793871999998,10284.12316
9,771.5,762,764,763.4,753.6,760.2,,,761,,767.7,,9,10284.12316,10157.46688,10184.13136,10176.132016,10045.476064,10133.468848,,,10144.13464,,10233.460648,
10,772.8,757.2,762.4,763.8,755.2,,,,761.9,,,767.9,10,10301.455071999999,10093.472128000001,10162.799776,10181.464912,10066.807648,,,,10156.133656,,,10236.127096
11,771.2,751.8,757.9,761.5,761.2,762.9,,,763.1,767.6,,768.5,11,10280.123488,10021.478031999999,10102.804696,10150.80076,10146.801088,10169.465896,,,10172.132344,10232.127424,,10244.12644
12,771.9,751.6,754.2,759.1,765,756.2,,761.9,764.1,766.3,762.9,,12,10289.456055999999,10018.811584,10053.475408,10118.803384,10197.4636,10080.139888000002,,10156.133656,10185.464584,10214.795511999999,10169.465896,
13,772.5,747.3,755.2,753.9,759.8,,,,,763,766.7,,13,10297.455399999999,9961.482952,10066.807648,10049.475736,10128.135952,,,,,10170.79912,10220.128408,
14,773.1,754.2,753.9,756,753.3,757.9,760.6,,,761.6,,770.4,14,10305.454743999999,10053.475408,10049.475736,10077.47344,10041.476392,10102.804696,10138.801744,,,10152.133984,,10269.457696
15,773.4,763.1,762.2,761.7,762.3,762.9,757.9,,,,,767.2,15,10309.454415999999,10172.132344,10160.133328,10153.467208,10161.466552,10169.465896,10102.804696,,,,,10226.794528
16,773.4,767.9,765.5,762.1,764,764,,766.2,,,758.8,,16,10309.454415999999,10236.127096,10204.129719999999,10158.800104,10184.13136,10184.13136,,10213.462288,,,10114.803711999999,
17,770.5,772.6,766.3,750,761.9,765,763.9,765.8,,,,,17,10270.79092,10298.788623999999,10214.795511999999,9997.48,10156.133656,10197.4636,10182.798136,10208.129391999999,,,,
18,763,775.7,763,755.6,756.7,,,,763.1,,761.9,,18,10170.79912,10340.118568,10170.79912,10072.140544,10086.806008000001,,,,10172.132344,,10156.133656,
19,760.2,774.5,753.4,756.2,758.9,761.7,,,763.8,762.3,,,19,10133.468848,10324.119879999998,10042.809615999999,10080.139888000002,10116.136936,10153.467208,,,10181.464912,10161.466552,,
20,754.3,774.1,753.6,759.4,760,,760.7,,765.9,759.7,761,,20,10054.808632,10318.786983999998,10045.476064,10122.803056,10130.8024,,10140.134968,,10209.462615999999,10126.802728,10144.13464,
21,745,772.1,757.7,759,752.5,,763.5,762.8,,,,765.6,21,9930.818800000001,10292.122503999999,10100.138248000001,10117.47016,10030.8106,,10177.46524,10168.132672,,,,10205.462944
22,747.4,769.7,759.6,758.4,760.1,,,763.3,764.4,,,,22,9962.816176,10260.125128,10125.469504,10109.470816,10132.135624,,,10174.798792,10189.464256,,,
23,750.5,765.4,759.3,751.4,761.1,761.8,763.4,762.6,763.8,763.3,,768.5,23,10004.146120000001,10202.796495999999,10121.469831999999,10016.145136,10145.467864,10154.800432,10176.132016,10165.466224,10181.464912,10174.798792,,10244.12644
24,756.2,766.9,763.8,747.2,759.2,761.9,,762.3,759.7,761.7,,767.6,24,10080.139888000002,10222.794855999999,10181.464912,9960.149728,10120.136608,10156.133656,,10161.466552,10126.802728,10153.467208,,10232.127424
25,753.7,764.6,766.1,755.4,758.7,761.7,,762.9,,756.7,,,25,10046.809288,10192.130704,10212.129064,10069.474096,10113.470488,10153.467208,,10169.465896,,10086.806008000001,,
26,754.1,764.6,763.9,754.2,762.3,,,763.6,,,771,771.9,26,10052.142184,10192.130704,10182.798136,10053.475408,10161.466552,,,10178.798464,,,10277.45704,10289.456055999999
27,759,757.1,759.1,754.4,763.1,763.8,,764,,,,769.7,27,10117.47016,10092.138904000001,10118.803384,10056.141855999998,10172.132344,10181.464912,,10184.13136,,,,10260.125128
28,761.2,750.3,758,758.4,758.3,764.6,763,762.5,,767.5,,759.9,28,10146.801088,10001.479672,10104.137920000001,10109.470816,10108.137592,10192.130704,10170.79912,10164.133,,10230.7942,,10129.469176
29,761,,762.8,763.3,757.5,765.4,764.4,,,,,,29,10144.13464,,10168.132672,10174.798792,10097.4718,10202.796495999999,10189.464256,,,,,
30,761.4,,764.4,762,757.7,764.4,764.5,,,,,,30,10149.467536,,10189.464256,10157.46688,10100.138248000001,10189.464256,10190.79748,,,,,
31,755.9,,764.3,,760.2,,763.9,,,,,767,31,10076.140216,,10188.131032,,10133.468848,,10182.798136,,,,,10224.12808
,,,,,,,,,,,,,,10185.636612903225,10154.514741142857,10124.13628,10101.7825576,10115.914732,10159.942867428568,10159.883348500001,10171.954580799998,10163.722777230769,10177.157572923075,10178.665141599999,10240.571176
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,H=19m,"May need to add +2.3hPa to all Lesina from 1874 for reduction to MSLP",,,,,,,,,,,
1874,January,February,March,April,May,June,July,August,September,October,November,December,1874,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,765.9,759.2,762.2,762.9,757.4,767.7,763.5,753.7,764.1,762.9,765.1,758.7,1,10209.462615999999,10120.136608,10160.133328,10169.465896,10096.138576,10233.460648,10177.46524,10046.809288,10185.464584,10169.465896,10198.796824000001,10113.470488
2,769,760.4,766.2,762.5,752.5,767.1,764,754.7,763.9,760.6,764.9,758.9,2,10250.79256,10136.135296,10213.462288,10164.133,10030.8106,10225.461304,10184.13136,10060.141528,10182.798136,10138.801744,10196.130376,10116.136936
3,769.2,762.4,769.5,761.7,752,766.2,762.8,756.9,763.7,755.7,765.5,758.7,3,10253.459008,10162.799776,10257.45868,10153.467208,10024.144479999999,10213.462288,10168.132672,10089.472456,10180.131688000001,10073.473768000002,10204.129719999999,10113.470488
4,767,763.8,770,761.3,752.7,765.3,762.3,757.4,762.7,754.5,766.9,758.2,4,10224.12808,10181.464912,10264.1248,10148.134312,10033.477048,10201.463271999999,10161.466552,10096.138576,10166.799448,10057.47508,10222.794855999999,10106.804368000001
5,761,766,770.1,760.4,752.4,763,762.4,758.6,760.4,757.7,767.3,752.7,5,10144.13464,10210.79584,10265.458024,10136.135296,10029.477375999999,10170.79912,10162.799776,10112.137264,10136.135296,10100.138248000001,10228.127751999999,10033.477048
6,761.5,768.7,769.2,754.1,754.8,760.1,761,757.2,760.4,760.3,767,758.8,6,10150.80076,10246.792888,10253.459008,10052.142184,10061.474751999998,10132.135624,10144.13464,10093.472128000001,10136.135296,10134.802072,10224.12808,10114.803711999999
7,763.6,769.2,769.1,756.5,756.7,759.6,760.4,760.1,759.6,759.6,768.9,761.4,7,10178.798464,10253.459008,10252.125784,10084.13956,10086.806008000001,10125.469504,10136.135296,10132.135624,10125.469504,10125.469504,10249.459335999998,10149.467536
8,763.3,764.7,767.5,753.3,748.6,761.7,761.3,760.3,759.8,760.8,767.9,759.2,8,10174.798792,10193.463928000001,10230.7942,10041.476392,9978.814864,10153.467208,10148.134312,10134.802072,10128.135952,10141.468192,10236.127096,10120.136608
9,766.4,753.9,765.5,749.2,747,764.5,762.5,755,758.9,762.9,766.5,760.7,9,10216.128735999999,10049.475736,10204.129719999999,9986.814208,9957.48328,10190.79748,10164.133,10064.1412,10116.136936,10169.465896,10217.46196,10140.134968
10,767.8,758.9,760.4,750.5,749.6,763.5,761.3,756.2,759.9,764.3,763.6,746.8,10,10234.793871999998,10116.136936,10136.135296,10004.146120000001,9992.147104,10177.46524,10148.134312,10080.139888000002,10129.469176,10188.131032,10178.798464,9954.816831999999
11,765.8,761.2,751.7,753.9,748.9,759.2,758,759.3,759.3,764.7,757.8,745.7,11,10208.129391999999,10146.801088,10020.144808000001,10049.475736,9982.814536,10120.136608,10104.137920000001,10121.469831999999,10121.469831999999,10193.463928000001,10101.471472,9940.151368
12,763.1,770.2,755.6,748.4,746.4,757.9,756.6,760.1,760.6,763.1,748.5,746.5,12,10172.132344,10266.791248,10072.140544,9976.148416,9949.483936,10102.804696,10085.472784000001,10132.135624,10138.801744,10172.132344,9977.48164,9950.81716
13,762.2,774.7,759.2,752,751.4,756.5,759.7,760.6,755.6,762.9,749.3,742.7,13,10160.133328,10326.786328,10120.136608,10024.144479999999,10016.145136,10084.13956,10126.802728,10138.801744,10072.140544,10169.465896,9988.147432,9900.154648000002
14,765.8,773.8,764.4,740.8,757.5,755.4,761.1,759.2,758,763,743.9,746.7,14,10208.129391999999,10314.787311999999,10189.464256,9874.823392,10097.4718,10069.474096,10145.467864,10120.136608,10104.137920000001,10170.79912,9916.153336,9953.483608
15,768,768.2,765.7,750.7,762,756.4,760.5,757.7,760.8,763.2,751.2,747.8,15,10237.46032,10240.126768,10206.796168,10006.812568000001,10157.46688,10082.806336,10137.46852,10100.138248000001,10141.468192,10173.465568,10013.478688000001,9968.149072
16,768.5,764.8,764.8,753.4,754,758.5,760,757.3,761.7,762.9,749.2,745.6,16,10244.12644,10194.797152,10194.797152,10042.809615999999,10050.80896,10110.80404,10130.8024,10094.805352,10153.467208,10169.465896,9986.814208,9938.818144
17,763.7,760.8,769.6,757.8,757.8,762.3,759.8,759.3,760.5,766.6,746.5,749.8,17,10180.131688000001,10141.468192,10258.791904,10101.471472,10101.471472,10161.466552,10128.135952,10121.469831999999,10137.46852,10218.795184,9950.81716,9994.813552
18,754.1,757.1,765,762.6,761.1,765.8,759.1,757.2,761.6,767.4,749.6,758.6,18,10052.142184,10092.138904000001,10197.4636,10165.466224,10145.467864,10208.129391999999,10118.803384,10093.472128000001,10152.133984,10229.460976,9992.147104,10112.137264
19,758.6,754.1,759.2,762.8,761.5,764.3,758.2,756.2,760.7,766.4,752.2,760.2,19,10112.137264,10052.142184,10120.136608,10168.132672,10150.80076,10188.131032,10106.804368000001,10080.139888000002,10140.134968,10216.128735999999,10026.810928,10133.468848
20,765.4,749.3,755.8,764.2,762.9,759.3,758.8,757.8,762.2,765.4,743.2,744.7,20,10202.796495999999,9988.147432,10074.806992,10186.797808000001,10169.465896,10121.469831999999,10114.803711999999,10101.471472,10160.133328,10202.796495999999,9906.820768000001,9926.819128000001
21,766.5,754.2,756.8,763.2,763.1,757.6,757.2,757.3,763.7,762.7,746.5,741.3,21,10217.46196,10053.475408,10088.139232,10173.465568,10172.132344,10098.805024000001,10093.472128000001,10094.805352,10180.131688000001,10166.799448,9950.81716,9881.489512
22,768.8,754.1,767.3,764.6,762.8,757.2,759.8,757.3,764.3,754.8,753.8,736.2,22,10248.126111999998,10052.142184,10228.127751999999,10192.130704,10168.132672,10093.472128000001,10128.135952,10094.805352,10188.131032,10061.474751999998,10048.142511999999,9813.495088000001
23,769,758.2,765.2,763.8,758.1,755.8,760.8,757,764.9,749.1,756.8,750.7,23,10250.79256,10106.804368000001,10200.130048,10181.464912,10105.471144000001,10074.806992,10141.468192,10090.80568,10196.130376,9985.480984000002,10088.139232,10006.812568000001
24,766.6,762.1,763.2,760.6,749.7,760.9,758.5,756.9,764.8,755.6,760.7,759.6,24,10218.795184,10158.800104,10173.465568,10138.801744,9993.480328000001,10142.801416,10110.80404,10089.472456,10194.797152,10072.140544,10140.134968,10125.469504
25,763.3,762,760.2,760.3,755.4,759.2,755.2,758.4,763.6,767.2,757.1,757.5,25,10174.798792,10157.46688,10133.468848,10134.802072,10069.474096,10120.136608,10066.807648,10109.470816,10178.798464,10226.794528,10092.138904000001,10097.4718
26,767.2,761.6,760.9,760.5,755.8,758.2,748.1,757.4,763.7,769.1,755,756.7,26,10226.794528,10152.133984,10142.801416,10137.46852,10074.806992,10106.804368000001,9972.148744000002,10096.138576,10180.131688000001,10252.125784,10064.1412,10086.806008000001
27,765.5,761.6,767.3,760,750,758.4,756,757.9,765.6,768.7,756.8,755.5,27,10204.129719999999,10152.133984,10228.127751999999,10130.8024,9997.48,10109.470816,10077.47344,10102.804696,10205.462944,10246.792888,10088.139232,10070.80732
28,754.6,760.2,765.5,755.9,756.1,758.3,758.6,761.2,767.9,765.2,755.5,759,28,10058.808304,10133.468848,10204.129719999999,10076.140216,10078.806664,10108.137592,10112.137264,10146.801088,10236.127096,10200.130048,10070.80732,10117.47016
29,761.9,,764.4,758.1,762.8,755.7,757.9,760.9,765.4,763.5,752.3,754.5,29,10156.133656,,10189.464256,10105.471144000001,10168.132672,10073.473768000002,10102.804696,10142.801416,10202.796495999999,10177.46524,10028.144152,10057.47508
30,763.2,,764.2,761.4,764,759.4,753.9,761.6,764.2,762.8,757.6,750.5,30,10173.465568,,10186.797808000001,10149.467536,10184.13136,10122.803056,10049.475736,10152.133984,10186.797808000001,10168.132672,10098.805024000001,10004.146120000001
31,760.7,,762.7,,766,,752.7,762.1,,762.3,,750.5,31,10140.134968,,10166.799448,,10210.79584,,10033.477048,10158.800104,,10161.466552,,10004.146120000001
,,,,,,,,,,,,,,10189.80831380645,10157.181189142855,10181.722955354839,10098.538379200001,10075.323078709676,10137.46852,10118.760376774191,10106.20226683871,10158.5779,10159.144161806453,10089.5168968,10033.778098580646
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1875,January,February,March,April,May,June,July,August,September,October,November,December,1875,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,756.2,768.8,752.6,761.4,760.9,760.5,758.4,758.7,759.2,755.4,754,746,1,10080.139888000002,10248.126111999998,10032.143824,10149.467536,10142.801416,10137.46852,10109.470816,10113.470488,10120.136608,10069.474096,10050.80896,9944.15104
2,763.5,767.1,743,763.1,761.1,760.5,757.7,760.5,758.3,761.2,755.2,752.4,2,10177.46524,10225.461304,9904.15432,10172.132344,10145.467864,10137.46852,10100.138248000001,10137.46852,10108.137592,10146.801088,10066.807648,10029.477375999999
3,765,760.8,747,764.7,761,758.7,757.5,759.7,759.8,762.2,758.4,750.7,3,10197.4636,10141.468192,9957.48328,10193.463928000001,10144.13464,10113.470488,10097.4718,10126.802728,10128.135952,10160.133328,10109.470816,10006.812568000001
4,767.6,753.7,752.3,763.4,761.4,757.1,760.9,755.2,760.6,763.5,759.9,736.2,4,10232.127424,10046.809288,10028.144152,10176.132016,10149.467536,10092.138904000001,10142.801416,10066.807648,10138.801744,10177.46524,10129.469176,9813.495088000001
5,764.1,749.8,757.1,760.7,761.7,757.3,763.1,751,764.6,764.5,760.5,739,5,10185.464584,9994.813552,10092.138904000001,10140.134968,10153.467208,10094.805352,10172.132344,10010.81224,10192.130704,10190.79748,10137.46852,9850.82536
6,761.2,755.4,764.4,753,761.2,758.4,762,753,763.9,766,757.5,746.2,6,10146.801088,10069.474096,10189.464256,10037.476719999999,10146.801088,10109.470816,10157.46688,10037.476719999999,10182.798136,10210.79584,10097.4718,9946.817488
7,760.1,758.6,767.2,752.8,762,761.8,762.2,757.9,764.1,767.5,754.7,752.2,7,10132.135624,10112.137264,10226.794528,10034.810271999999,10157.46688,10154.800432,10160.133328,10102.804696,10185.464584,10230.7942,10060.141528,10026.810928
8,766.6,759.3,770.3,752.6,763.3,763.3,760.2,759.6,763.2,767.6,754.3,756.3,8,10218.795184,10121.469831999999,10268.124472,10032.143824,10174.798792,10174.798792,10133.468848,10125.469504,10173.465568,10232.127424,10054.808632,10081.473112
9,767.6,756,769.9,758.4,762,760.5,756.1,759.6,762.7,764.7,753.5,759.6,9,10232.127424,10077.47344,10262.791576,10109.470816,10157.46688,10137.46852,10078.806664,10125.469504,10166.799448,10193.463928000001,10044.14284,10125.469504
10,766.5,755,764.9,762.3,762,760.4,754.5,759,761.6,761.8,758.7,765.2,10,10217.46196,10064.1412,10196.130376,10161.466552,10157.46688,10136.135296,10057.47508,10117.47016,10152.133984,10154.800432,10113.470488,10200.130048
11,769.4,755.5,760.2,762.2,763.6,760.3,760.7,761.7,763.2,757.7,755.9,760.5,11,10256.125456,10070.80732,10133.468848,10160.133328,10178.798464,10134.802072,10140.134968,10153.467208,10173.465568,10100.138248000001,10076.140216,10137.46852
12,768.4,763.7,758.2,759.3,763.8,760.9,759.5,761.7,766.8,753.1,752.9,756.8,12,10242.793215999998,10180.131688000001,10106.804368000001,10121.469831999999,10181.464912,10142.801416,10124.13628,10153.467208,10221.461631999999,10038.809944,10036.143496,10088.139232
13,768.2,757.4,757.5,748.6,761.6,761,758,760.7,765.5,743.5,762.2,760.2,13,10240.126768,10096.138576,10097.4718,9978.814864,10152.133984,10144.13464,10104.137920000001,10140.134968,10204.129719999999,9910.82044,10160.133328,10133.468848
14,768.9,751.5,759.9,758.3,762.7,759.6,759.3,759.6,759.5,741,766.7,765.7,14,10249.459335999998,10017.478360000001,10129.469176,10108.137592,10166.799448,10125.469504,10121.469831999999,10125.469504,10124.13628,9877.48984,10220.128408,10206.796168
15,770.4,756.4,760.7,758.9,763.4,759.4,758.6,762.3,759.8,739.5,762.5,766.3,15,10269.457696,10082.806336,10140.134968,10116.136936,10176.132016,10122.803056,10112.137264,10161.466552,10128.135952,9857.49148,10164.133,10214.795511999999
16,767.2,759.5,765.2,758.1,761.1,758.2,756.1,765,763.2,747.7,761.8,768.9,16,10226.794528,10124.13628,10200.130048,10105.471144000001,10145.467864,10106.804368000001,10078.806664,10197.4636,10173.465568,9966.815848000002,10154.800432,10249.459335999998
17,756.1,757.8,765.6,761.9,760.3,759.1,751.8,765.6,766.5,754.9,766.7,767.2,17,10078.806664,10101.471472,10205.462944,10156.133656,10134.802072,10118.803384,10021.478031999999,10205.462944,10217.46196,10062.807976,10220.128408,10226.794528
18,755.8,758.4,762.2,762.8,760.4,760.4,754,764.9,766.7,759.2,761.9,763.2,18,10074.806992,10109.470816,10160.133328,10168.132672,10136.135296,10136.135296,10050.80896,10196.130376,10220.128408,10120.136608,10156.133656,10173.465568
19,764.8,756.5,762.3,763.5,759.7,759,755.8,763.5,765.4,760.1,758.5,762.2,19,10194.797152,10084.13956,10161.466552,10177.46524,10126.802728,10117.47016,10074.806992,10177.46524,10202.796495999999,10132.135624,10110.80404,10160.133328
20,767.7,752.6,754.5,764.3,759.2,759.2,757.4,763.8,764.6,760.7,748.9,765.8,20,10233.460648,10032.143824,10057.47508,10188.131032,10120.136608,10120.136608,10096.138576,10181.464912,10192.130704,10140.134968,9982.814536,10208.129391999999
21,764.6,755.1,751.8,764.5,760.4,757.6,756.3,764.7,762.4,759.6,744,767.4,21,10192.130704,10065.474424,10021.478031999999,10190.79748,10136.135296,10098.805024000001,10081.473112,10193.463928000001,10162.799776,10125.469504,9917.48656,10229.460976
22,753.3,755.9,753.1,760.7,760.8,762,755.5,762.1,761.4,758,751,769.4,22,10041.476392,10076.140216,10038.809944,10140.134968,10141.468192,10157.46688,10070.80732,10158.800104,10149.467536,10104.137920000001,10010.81224,10256.125456
23,756.2,758.8,752.1,758.4,761.1,764.5,756.5,758.4,759.1,752.1,758,770,23,10080.139888000002,10114.803711999999,10025.477704,10109.470816,10145.467864,10190.79748,10084.13956,10109.470816,10118.803384,10025.477704,10104.137920000001,10264.1248
24,766.7,757.6,760,759.3,762.6,761.5,754.4,759.3,758,747.5,757.6,769.7,24,10220.128408,10098.805024000001,10130.8024,10121.469831999999,10165.466224,10150.80076,10056.141855999998,10121.469831999999,10104.137920000001,9964.1494,10098.805024000001,10260.125128
25,762.5,749.2,765.4,752.4,763.3,757.9,759.3,760.5,765.7,747.7,758.1,767.8,25,10164.133,9986.814208,10202.796495999999,10029.477375999999,10174.798792,10102.804696,10121.469831999999,10137.46852,10206.796168,9966.815848000002,10105.471144000001,10234.793871999998
26,754.8,750.6,767.5,751.3,758.9,754.6,759.9,761.5,767.9,758,746.6,763.1,26,10061.474751999998,10005.479344,10230.7942,10014.811912,10116.136936,10058.808304,10129.469176,10150.80076,10236.127096,10104.137920000001,9952.150384,10172.132344
27,760.4,752.8,765.1,758.3,754,754.1,762.5,764.2,765.9,761,755.9,762.2,27,10136.135296,10034.810271999999,10198.796824000001,10108.137592,10050.80896,10052.142184,10164.133,10186.797808000001,10209.462615999999,10144.13464,10076.140216,10160.133328
28,769.8,747,761.5,761.2,754.9,756.1,763.9,762,764.8,755.8,753.4,766.6,28,10261.458351999998,9957.48328,10150.80076,10146.801088,10062.807976,10078.806664,10182.798136,10157.46688,10194.797152,10074.806992,10042.809615999999,10218.795184
29,769.1,,756.1,760.8,757.1,757,761.4,758.3,756.9,752.6,748.3,766.6,29,10252.125784,,10078.806664,10141.468192,10092.138904000001,10090.80568,10149.467536,10108.137592,10089.472456,10032.143824,9974.815192,10218.795184
30,765.8,,756.9,762.7,752.9,758,759.3,758.9,753.3,753.7,750.9,762.2,30,10208.129391999999,,10089.472456,10166.799448,10036.143496,10104.137920000001,10121.469831999999,10116.136936,10041.476392,10046.809288,10009.479016000001,10160.133328
31,762.9,,760.1,,755.5,,759.1,759.1,,753.3,,765.7,31,10169.465896,,10132.135624,,10070.80732,,10118.803384,10118.803384,,10041.476392,,10206.796168
,,,,,,,,,,,,,,10183.013172129029,10083.568178285714,10124.179287225805,10121.8697992,10136.780404387096,10121.4253912,10110.115924387097,10135.963267096777,10163.955236799999,10083.967531096776,10081.250907999998,10135.66221651613
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1876,January,February,March,April,May,June,July,August,September,October,November,December,1876,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
